gene	fp_count	exp_count
A1BG-AS1	1.0	17.0
AACS	2.0	290.0
AAGAB	5.0	227.0
AAMP	11.0	748.0
AAR2	7.0	305.0
AASDH	2.0	70.0
AASDHPPT	5.0	315.0
AATF	4.0	310.0
AATK	4.0	149.0
AB019441.29	43.0	1305.0
ABCA2	8.0	348.0
ABCB10	2.0	102.0
ABCB6	5.0	456.0
ABCB7	2.0	231.0
ABCB9	2.0	188.0
ABCC4	7.0	546.0
ABCC5	2.0	82.0
ABCD4	2.0	93.0
ABCE1	7.0	537.0
ABCF2	6.0	225.0
ABCF3	2.0	124.0
ABHD10	2.0	252.0
ABHD11	6.0	273.0
ABHD12	22.0	1422.0
ABHD13	3.0	163.0
ABHD14A	4.0	243.0
ABHD14B	6.0	311.0
ABHD16A	3.0	106.0
ABHD17A	5.0	521.0
ABHD17B	2.0	74.0
ABHD17C	5.0	233.0
ABI1	1.0	124.0
ABLIM1	3.0	107.0
ABLIM3	3.0	88.0
ABT1	2.0	269.0
AC000068.5	1.0	11.0
AC000089.3	6.0	884.0
AC002075.4	20.0	1501.0
AC004057.1	126.0	22640.0
AC004980.7	2.0	16.0
AC005562.1	2.0	97.0
AC005787.5	1.0	5.0
AC006129.1	1.0	18.0
AC008079.12	1.0	3.0
AC009133.21	1.0	5.0
AC009133.23	1.0	54.0
AC009237.8	2.0	6.0
AC009245.3	109.0	3800.0
AC013463.2	1.0	81.0
AC016739.2	66.0	3942.0
AC022007.5	1.0	11.0
AC026271.5	2.0	70.0
AC079250.1	80.0	2231.0
AC093323.3	2.0	157.0
AC104667.3	2.0	68.0
AC107983.4	14.0	1017.0
AC110619.2	1.0	23.0
AC138969.4	2.0	42.0
AC144530.1	96.0	2090.0
ACAA2	6.0	451.0
ACACA	12.0	1110.0
ACAD8	1.0	124.0
ACADM	7.0	388.0
ACAP3	1.0	105.0
ACAT1	9.0	983.0
ACAT2	3.0	249.0
ACBD3	8.0	254.0
ACBD4	3.0	101.0
ACBD5	3.0	143.0
ACBD6	1.0	191.0
ACER3	2.0	125.0
ACKR3	4.0	169.0
ACLY	11.0	659.0
ACO1	3.0	124.0
ACO2	5.0	542.0
ACOT1	3.0	68.0
ACOT13	6.0	516.0
ACOT8	4.0	345.0
ACOXL	1.0	62.0
ACP1	9.0	828.0
ACP3	41.0	2935.0
ACP6	5.0	144.0
ACSL1	9.0	471.0
ACSL3	22.0	1728.0
ACSL5	19.0	1293.0
ACSM3	10.0	562.0
ACSS1	13.0	729.0
ACSS2	4.0	306.0
ACTA2	1.0	159.0
ACTB	77.0	5317.0
ACTG1	265.0	21757.0
ACTL6A	5.0	325.0
ACTL6B	1.0	34.0
ACTN1	8.0	340.0
ACTN4	6.0	755.0
ACTR10	7.0	276.0
ACTR1A	2.0	340.0
ACTR1B	7.0	628.0
ACTR2	23.0	999.0
ACTR3	13.0	699.0
ACTR3B	2.0	91.0
ACTR6	8.0	275.0
ACVR1B	6.0	221.0
ACY1	8.0	441.0
ADA	2.0	95.0
ADAM10	8.0	374.0
ADAM9	14.0	593.0
ADAP1	1.0	28.0
ADAR	18.0	1146.0
ADARB2	1.0	112.0
ADCK2	5.0	401.0
ADCY3	6.0	90.0
ADCY6	8.0	249.0
ADD1	4.0	478.0
ADD3	18.0	672.0
ADGRA3	3.0	138.0
ADGRB1	3.0	158.0
ADGRB2	2.0	66.0
ADGRE5	6.0	218.0
ADGRG6	7.0	687.0
ADGRL1-AS1	1.0	5.0
ADGRL2	2.0	44.0
ADH5	17.0	419.0
ADI1	20.0	1516.0
ADIPOR1	20.0	886.0
ADIPOR2	4.0	297.0
ADIRF	12.0	3819.0
ADNP	6.0	461.0
ADNP2	2.0	122.0
ADO	2.0	213.0
ADPGK	4.0	158.0
ADPRHL1	1.0	17.0
ADPRM	2.0	142.0
ADPRS	2.0	217.0
ADRB1	2.0	55.0
ADRB2	5.0	254.0
ADRM1	4.0	528.0
ADSL	6.0	624.0
ADSS2	6.0	274.0
AEBP2	2.0	123.0
AEN	6.0	179.0
AFF1	9.0	648.0
AFF4	4.0	337.0
AFG1L	1.0	20.0
AFG3L1P	1.0	6.0
AFG3L2	6.0	375.0
AFTPH	3.0	278.0
AGAP3	5.0	369.0
AGBL5	4.0	181.0
AGFG1	2.0	233.0
AGFG2	2.0	171.0
AGK	6.0	199.0
AGO1	5.0	123.0
AGO4	2.0	81.0
AGPAT1	3.0	100.0
AGPAT2	4.0	288.0
AGPAT3	13.0	935.0
AGPAT5	3.0	248.0
AGR2	33.0	2944.0
AGR3	2.0	123.0
AGTRAP	6.0	328.0
AHCTF1	6.0	165.0
AHCY	42.0	2718.0
AHCYL1	5.0	550.0
AHSA1	7.0	729.0
AIDA	42.0	3052.0
AIFM1	5.0	281.0
AIFM2	1.0	35.0
AIG1	3.0	313.0
AIMP1	7.0	325.0
AIMP2	2.0	254.0
AIP	18.0	1135.0
AK1	5.0	193.0
AK2	9.0	1011.0
AK3	7.0	390.0
AK4	11.0	393.0
AK6	7.0	379.0
AK9	1.0	29.0
AKAP1	2.0	226.0
AKAP10	1.0	112.0
AKAP11	2.0	87.0
AKAP7	5.0	70.0
AKAP8L	2.0	396.0
AKAP9	15.0	671.0
AKIRIN1	7.0	333.0
AKIRIN2	3.0	217.0
AKR1A1	29.0	1425.0
AKR1C3	4.0	627.0
AKR1E2	1.0	34.0
AKR7A2	8.0	406.0
AKT1	12.0	905.0
AKT1S1	5.0	399.0
AKT2	9.0	759.0
AKTIP	4.0	161.0
AL136419.6	2.0	10.0
ALAS1	3.0	156.0
ALCAM	1.0	28.0
ALDH16A1	1.0	125.0
ALDH18A1	7.0	373.0
ALDH1A1	2.0	255.0
ALDH1A3	3.0	171.0
ALDH1B1	6.0	292.0
ALDH2	2.0	107.0
ALDH3A2	6.0	344.0
ALDH3B2	2.0	125.0
ALDH5A1	1.0	125.0
ALDH6A1	2.0	124.0
ALDH7A1	8.0	417.0
ALDH9A1	8.0	402.0
ALDOA	120.0	7307.0
ALDOC	11.0	940.0
ALG11	1.0	76.0
ALG12	5.0	85.0
ALG14	3.0	93.0
ALG2	4.0	141.0
ALG3	3.0	316.0
ALG5	2.0	264.0
ALG6	1.0	51.0
ALG8	7.0	363.0
ALKBH2	3.0	177.0
ALKBH3	2.0	122.0
ALKBH4	1.0	127.0
ALKBH5	7.0	522.0
ALKBH6	2.0	123.0
ALKBH7	5.0	532.0
ALPL	1.0	23.0
ALS2	2.0	80.0
ALS2CL	1.0	5.0
ALYREF	4.0	411.0
AMACR	5.0	284.0
AMD1	89.0	5498.0
AMDHD2	3.0	32.0
AMFR	3.0	145.0
AMN1	3.0	106.0
AMOTL1	4.0	435.0
AMPD2	4.0	162.0
AMZ2	6.0	438.0
ANAPC1	3.0	234.0
ANAPC10	1.0	95.0
ANAPC11	22.0	2484.0
ANAPC16	8.0	836.0
ANAPC1P2	2.0	52.0
ANAPC2	2.0	210.0
ANAPC5	16.0	550.0
ANAPC7	3.0	347.0
ANGPTL4	1.0	87.0
ANKFY1	5.0	110.0
ANKH	2.0	223.0
ANKHD1	2.0	159.0
ANKHD1-EIF4EBP3	1.0	67.0
ANKIB1	3.0	114.0
ANKLE2	3.0	239.0
ANKMY2	2.0	59.0
ANKRA2	2.0	109.0
ANKRD10	16.0	1003.0
ANKRD13A	4.0	342.0
ANKRD13B	3.0	173.0
ANKRD13D	5.0	324.0
ANKRD16	3.0	59.0
ANKRD17	10.0	465.0
ANKRD22	1.0	35.0
ANKRD27	3.0	180.0
ANKRD28	2.0	198.0
ANKRD29	3.0	118.0
ANKRD46	7.0	322.0
ANKRD54	2.0	118.0
ANKRD65	6.0	89.0
ANKRD9	5.0	199.0
ANKZF1	2.0	231.0
ANO8	1.0	121.0
ANP32A	7.0	1787.0
ANP32B	8.0	1162.0
ANTKMT	1.0	127.0
ANXA11	9.0	810.0
ANXA2	2.0	261.0
ANXA4	3.0	86.0
ANXA5	6.0	349.0
ANXA7	6.0	654.0
AOPEP	1.0	121.0
AP000696.2	1.0	8.0
AP000704.5	1.0	9.0
AP000936.1	34.0	2517.0
AP001062.7	1.0	129.0
AP001347.6	2.0	26.0
AP001505.10	2.0	88.0
AP1AR	4.0	217.0
AP1B1	5.0	518.0
AP1G1	5.0	179.0
AP1M2	5.0	386.0
AP1S1	8.0	691.0
AP1S2	2.0	98.0
AP1S3	1.0	267.0
AP2A1	4.0	248.0
AP2A2	2.0	309.0
AP2B1	8.0	933.0
AP2M1	5.0	739.0
AP2S1	12.0	1236.0
AP3B1	1.0	41.0
AP3B2	2.0	90.0
AP3D1	8.0	585.0
AP3M1	2.0	295.0
AP3S1	11.0	525.0
AP3S2	7.0	219.0
AP4M1	5.0	162.0
AP5M1	2.0	160.0
AP5Z1	1.0	33.0
APAF1	1.0	12.0
APC2	1.0	14.0
APEH	12.0	954.0
APEX1	18.0	1295.0
APH1A	18.0	1087.0
APH1B	2.0	143.0
API5	8.0	452.0
APIP	3.0	288.0
APLN	2.0	138.0
APLP1	3.0	202.0
APLP2	28.0	1667.0
APMAP	2.0	357.0
APOBEC3B	6.0	172.0
APOD	55.0	4438.0
APOF	2.0	38.0
APOO	2.0	197.0
APP	47.0	4468.0
APPBP2	1.0	221.0
APPL1	3.0	336.0
APPL2	6.0	227.0
APRT	6.0	1115.0
APTR	2.0	72.0
AQP3	7.0	448.0
AQR	5.0	203.0
AR	109.0	8224.0
ARAF	3.0	303.0
ARAP1	3.0	170.0
ARCN1	10.0	560.0
ARF1	9.0	813.0
ARF3	12.0	794.0
ARF4	23.0	1514.0
ARF5	19.0	1552.0
ARF6	11.0	855.0
ARFGAP2	2.0	185.0
ARFGAP3	8.0	482.0
ARFGEF1	3.0	232.0
ARFGEF2	3.0	158.0
ARFGEF3	7.0	549.0
ARFIP1	2.0	217.0
ARFIP2	5.0	323.0
ARFRP1	3.0	167.0
ARGLU1	4.0	345.0
ARHGAP10	2.0	76.0
ARHGAP11A	5.0	268.0
ARHGAP29	3.0	288.0
ARHGAP35	5.0	380.0
ARHGAP5	1.0	192.0
ARHGAP5-AS1	1.0	23.0
ARHGAP6	4.0	309.0
ARHGDIA	29.0	1712.0
ARHGDIB	16.0	1376.0
ARHGDIG	1.0	114.0
ARHGEF11	2.0	61.0
ARHGEF16	1.0	165.0
ARHGEF19	1.0	41.0
ARHGEF38	3.0	158.0
ARHGEF39	4.0	157.0
ARHGEF5	4.0	87.0
ARHGEF7	19.0	767.0
ARID1A	3.0	301.0
ARID4B	3.0	194.0
ARIH1	7.0	328.0
ARIH2	8.0	380.0
ARL1	5.0	647.0
ARL14EP	5.0	188.0
ARL16	3.0	397.0
ARL17B	1.0	53.0
ARL2	9.0	1050.0
ARL2BP	2.0	283.0
ARL3	8.0	365.0
ARL5A	3.0	262.0
ARL6IP1	37.0	2108.0
ARL6IP4	11.0	1476.0
ARL6IP5	12.0	843.0
ARL6IP6	4.0	256.0
ARL8A	2.0	304.0
ARLNC1	1.0	5.0
ARMC1	6.0	376.0
ARMC10	5.0	434.0
ARMC10P1	1.0	14.0
ARMC6	4.0	192.0
ARMC7	3.0	54.0
ARMC8	1.0	116.0
ARNT	1.0	120.0
ARPC1A	12.0	1011.0
ARPC2	11.0	594.0
ARPC3	23.0	2054.0
ARPC3P1	1.0	20.0
ARPC3P3	2.0	31.0
ARPC4	8.0	666.0
ARPC5	14.0	430.0
ARPC5L	6.0	539.0
ARPP19	12.0	548.0
ARRDC1	2.0	261.0
ARRDC2	1.0	20.0
ARRDC3	8.0	251.0
ARRDC4	1.0	79.0
ARSD	9.0	228.0
ARSK	3.0	53.0
ART3	1.0	68.0
ARV1	2.0	93.0
ARVCF	2.0	210.0
ASAH1	21.0	1138.0
ASAP2	6.0	187.0
