Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	cytoplasmic translation	14	53.84615384615385	1.0082110978702372E-24	RPL4, RPS6, RPL13A, RPSA, RPL7A, RPS29, RPS3, RPL14, RPLP2, RPL13, RPS20, RPL38, RPS2, RPL28	25	97	19734	113.92824742268041	1.7341230883368079E-22	1.7341230883368079E-22	1.7341230883368079E-22
GOTERM_BP_DIRECT	translation	15	57.692307692307686	1.565582036202915E-22	RPL4, RPS6, RPL13A, RPSA, EEF1A1, RPL7A, RPS29, RPS3, RPL14, RPLP2, RPL13, RPS20, RPL38, RPS2, RPL28	25	202	19734	58.61584158415841	2.692801102269014E-20	1.346400551134507E-20	1.346400551134507E-20
GOTERM_BP_DIRECT	regulation of translation	3	11.538461538461538	0.006151006318546329	RPS3, RPL38, GAPDH	25	97	19734	24.413195876288658	0.6539736293163455	0.28057134203187634	0.28057134203187634
GOTERM_BP_DIRECT	negative regulation of translation	3	11.538461538461538	0.006524914930973868	RPS3, RPL13A, GAPDH	25	100	19734	23.680799999999998	0.6756599516678292	0.28057134203187634	0.28057134203187634
GOTERM_BP_DIRECT	mitochondrial electron transport, NADH to ubiquinone	2	7.6923076923076925	0.054500636342095496	MT-ND4, MT-ND2	25	46	19734	34.32	0.9999348771447835	1.0	1.0
GOTERM_BP_DIRECT	positive regulation of protein-containing complex assembly	2	7.6923076923076925	0.06139594517855533	RPS3, TRABD2A	25	52	19734	30.36	0.9999815082811501	1.0	1.0
GOTERM_BP_DIRECT	intracellular iron ion homeostasis	2	7.6923076923076925	0.0784240238304129	MT-RNR2, FTH1	25	67	19734	23.562985074626866	0.9999992068470729	1.0	1.0
GOTERM_BP_DIRECT	proton motive force-driven mitochondrial ATP synthesis	2	7.6923076923076925	0.0784240238304129	MT-ND4, MT-ND2	25	67	19734	23.562985074626866	0.9999992068470729	1.0	1.0
GOTERM_BP_DIRECT	mitochondrial respiratory chain complex I assembly	2	7.6923076923076925	0.0784240238304129	MT-ND4, MT-ND2	25	67	19734	23.562985074626866	0.9999992068470729	1.0	1.0
GOTERM_BP_DIRECT	aerobic respiration	2	7.6923076923076925	0.07954863985952734	MT-ND4, MT-ND2	25	68	19734	23.216470588235296	0.9999993570974689	1.0	1.0
