gene	maximum_effective_size	size
A1BG-AS1	2412	7738
AACS	6646	77900
AAGAB	3132	54529
AAMP	2270	6050
AAR2	3918	34788
AASDH	3581	49222
AASDHPPT	5145	23199
AATF	4050	107947
AATK	11898	55735
AB019441.29	627	627
ABCA2	8154	21689
ABCB10	3869	42126
ABCB6	3008	9223
ABCB7	4595	105685
ABCB9	6051	60699
ABCC4	6171	281641
ABCC5	5852	98006
ABCD4	3035	17787
ABCE1	3887	31237
ABCF2	4527	15722
ABCF3	2844	7990
ABHD10	2604	14359
ABHD11	1562	2759
ABHD12	2035	96094
ABHD13	5313	15852
ABHD14A	1113	9774
ABHD14B	2236	14900
ABHD16A	2260	16402
ABHD17A	5425	8687
ABHD17B	3065	48742
ABHD17C	2435	75938
ABI1	3576	114495
ABLIM1	7690	336949
ABLIM3	4569	119060
ABT1	2943	3787
AC000068.5	2097	2213
AC000089.3	801	801
AC002075.4	252	252
AC004057.1	348	3125
AC004980.7	2667	78623
AC005562.1	3219	96326
AC005787.5	493	643
AC006129.1	594	969
AC008079.12	2885	53732
AC009133.21	561	561
AC009133.23	2252	7832
AC009237.8	3551	7061
AC009245.3	862	862
AC013463.2	3611	367601
AC016739.2	345	345
AC022007.5	4187	7162
AC026271.5	1348	1348
AC079250.1	531	531
AC093323.3	2311	13360
AC104667.3	1301	4962
AC107983.4	210	210
AC110619.2	2017	7400
AC138969.4	4514	33147
AC144530.1	555	555
ACAA2	2926	31790
ACACA	10013	321845
ACAD8	3315	12308
ACADM	6094	63145
ACAP3	5319	17220
ACAT1	2258	30909
ACAT2	1641	17068
ACBD3	3584	42063
ACBD4	2241	11582
ACBD5	4257	74912
ACBD6	5261	233302
ACER3	7333	165939
ACKR3	2015	14568
ACLY	4318	63626
ACO1	7443	70167
ACO2	3978	81444
ACOT1	1686	6654
ACOT13	4391	38031
ACOT8	3059	15685
ACOXL	4885	388072
ACP1	1552	14144
ACP3	3174	50930
ACP6	6956	40873
ACSL1	3948	71224
ACSL3	8441	83698
ACSL5	3394	54264
ACSM3	3311	187339
ACSS1	4767	52751
ACSS2	2925	55817
ACTA2	1349	56266
ACTB	2554	37494
ACTG1	2491	14435
ACTL6A	1899	25522
ACTL6B	1524	13352
ACTN1	5441	105313
ACTN4	4990	83941
ACTR10	2408	35557
ACTR1A	3519	40832
ACTR1B	2204	8106
ACTR2	3783	43466
ACTR3	6589	72534
ACTR3B	5543	95630
ACTR6	2045	42744
ACVR1B	4531	45380
ACY1	1857	5858
ADA	1770	32712
ADAM10	11158	160983
ADAM9	7079	108692
ADAP1	2360	57508
ADAR	7272	46319
ADARB2	8475	560213
ADCK2	2574	23317
ADCY3	5050	101069
ADCY6	6464	22896
ADD1	5179	86233
ADD3	4413	139198
ADGRA3	4577	170996
ADGRB1	6241	95580
ADGRB2	5708	37777
ADGRE5	3190	28225
ADGRG6	7026	144413
ADGRL1-AS1	2894	34122
ADGRL2	8764	686290
ADH5	2652	17824
ADI1	3870	22166
ADIPOR1	2109	17747
ADIPOR2	3971	100101
ADIRF	700	15503
ADNP	7360	42522
ADNP2	5157	38262
ADO	3760	3760
ADPGK	4576	34553
ADPRHL1	9759	53915
ADPRM	1534	13965
ADPRS	1651	5041
ADRB1	3039	3039
ADRB2	2013	2013
ADRM1	1530	6770
ADSL	4965	44003
ADSS2	2555	43416
AEBP2	5830	316757
AEN	5039	10945
AFF1	9625	206038
AFF4	9536	88240
AFG1L	5048	231806
AFG3L1P	3327	29576
AFG3L2	3482	48284
AFTPH	4674	68701
AGAP3	3751	58606
AGBL5	3261	28259
AGFG1	8677	89066
AGFG2	4819	29018
AGK	3874	103967
AGO1	13712	60725
AGO4	7272	49875
AGPAT1	2496	9885
AGPAT2	1546	14315
AGPAT3	6565	122370
AGPAT5	5237	52862
AGR2	1697	41623
AGR3	738	22576
AGTRAP	1130	18719
AHCTF1	8887	92851
AHCY	2366	31535
AHCYL1	4313	38978
AHSA1	1337	11603
AIDA	4050	45198
AIFM1	5137	41214
AIFM2	3247	34712
AIG1	3636	280563
AIMP1	5487	33913
AIMP2	1198	14580
AIP	1919	22981
AK1	2192	11190
AK2	5970	73057
AK3	4219	32488
AK4	6998	84597
AK6	1626	19030
AK9	6317	198363
AKAP1	4285	36255
AKAP10	4063	74042
AKAP11	9915	51110
AKAP7	3150	148069
AKAP8L	4863	39092
AKAP9	13915	169834
AKIRIN1	2688	14784
AKIRIN2	1898	27374
AKR1A1	1818	19507
AKR1C3	1405	72333
AKR1E2	1655	61434
AKR7A2	1360	8180
AKT1	8396	26403
AKT1S1	3640	9427
AKT2	5250	55220
AKTIP	2384	13372
AL136419.6	2108	6342
ALAS1	2430	16242
