gene	maximum_effective_size	size
DDX11L1	1657	2541
WASH7P	1351	15167
MIR6859-1	68	68
MIR1302-2HG	712	1556
MIR1302-2	138	138
FAM138A	1187	1528
OR4G4P	840	840
OR4G11P	1414	6519
OR4F5	2618	6167
RP11-34P13.7	2748	44429
RP11-34P13.8	1319	1555
CICP27	3812	3812
RP11-34P13.15	755	755
RP11-34P13.16	284	284
RP11-34P13.14	323	550
RP11-34P13.13	4860	32389
RNU6-1100P	104	104
RP11-34P13.9	457	1080
DDX11L17	570	1479
WASH9P	1397	10195
MIR6859-2	68	68
AP006222.1	5603	101818
AP006222.3	736	1801
RPL23AP24	385	385
RP4-669L17.2	994	7196
RP4-669L17.4	902	157540
WBP1LP7	363	363
OR4F29	939	939
CICP7	2477	2806
RP4-669L17.8	1239	2017
U6	107	103
RP11-206L10.17	1702	241726
RP5-857K21.2	607	7140
MTND1P23	372	372
MTND2P28	1044	1044
MTCO1P12	1543	1543
ENSG00000278791	89	89
MTCO2P12	682	682
MTATP8P1	207	207
MTATP6P1	681	681
MTCO3P12	547	547
WBP1LP6	424	424
OR4F16	995	995
CICP3	2455	2812
RP11-206L10.2	6432	52742
RNU6-1199P	104	104
RP11-206L10.4	456	1079
LINC01409	2949	31319
RP11-206L10.18	114	114
RP11-206L10.8	872	16834
FAM87B	1947	2467
LINC01128	8389	34309
LINC00115	1317	1317
RP11-206L10.19	2509	7977
FAM41C	1807	8833
TUBB8P11	1058	1058
FAM166AP3	837	2706
RP11-54O7.16	351	11143
RP11-54O7.1	3043	3514
RP11-54O7.2	443	801
LINC02593	4152	4152
SAMD11	3468	20653
NOC2L	4201	15107
KLHL17	2567	5136
PLEKHN1	3176	9384
PERM1	3340	6890
RP11-54O7.17	2086	2086
HES4	1040	1211
ISG15	787	13403
RP11-54O7.10	154	154
RP11-54O7.11	471	1197
AGRN	7477	35999
RP11-54O7.14	402	1084
RP11-465B22.3	1219	9648
RP11-54O7.18	829	1081
RNF223	1900	3340
C1orf159	3315	34544
RP11-465B22.9	1095	7014
LINC01342	1620	7040
MIR200B	95	95
MIR200A	90	90
MIR429	83	83
RP11-465B22.8	987	987
TTLL10-AS1	3532	6500
TTLL10	2307	24057
TNFRSF18	1083	3085
TNFRSF4	1707	2814
SDF4	3516	15159
B3GALT6	2805	2805
C1QTNF12	1036	4277
RP5-902P8.12	1558	1558
UBE2J2	2455	19956
LINC01786	389	5198
SCNN1D	3475	11594
ACAP3	5319	17220
MIR6726	61	61
PUSL1	1783	3081
INTS11	3079	13103
MIR6727	65	65
RP5-890O3.9	386	1109
CPTP	2154	4141
TAS1R3	3475	4035
DVL1	3305	14143
MIR6808	59	59
MXRA8	2728	9089
AURKAIP1	1072	1766
NDUFB4P8	367	367
CCNL2	4452	13625
MRPL20-AS1	2228	2527
MRPL20	1693	5385
RN7SL657P	293	293
MRPL20-DT	1523	1523
ANKRD65	2024	3350
RP4-758J18.7	543	2447
TMEM88B	3217	4385
LINC01770	634	4035
VWA1	4492	8022
ATAD3C	3864	20475
ATAD3B	4314	26084
RP5-832C2.8	660	6203
ATAD3A	2612	22524
TMEM240	1381	5847
SSU72	4176	33191
RP5-832C2.5	2101	2974
RP11-345P4.11	400	400
FNDC10	2124	2124
RP11-345P4.12	1830	2390
RP11-345P4.9	2038	2038
MIB2	4247	15152
MMP23B	1531	3101
CDK11B	2992	23788
RP11-345P4.10	400	3278
SLC35E2B	6434	33267
RP11-345P4.6	1422	2408
MMP23A	1017	1841
CDK11A	2984	21979
RP1-283E3.8	5079	34953
RP1-283E3.4	1808	12740
SLC35E2A	2078	21155
NADK	3653	29226
GNB1	3163	105833
RP1-140A9.1	906	1188
CALML6	1882	2189
TMEM52	1118	1690
CFAP74	5325	81887
RP11-547D24.1	1954	2427
GABRD	2393	11430
RP11-547D24.3	437	868
PRKCZ	2385	134985
RP5-892K4.1	4196	4196
PRKCZ-AS1	1253	2596
FAAP20	4478	28260
RP11-181G12.4	326	8216
SKI	6083	81895
RP11-181G12.8	5675	8046
MORN1	4764	70455
RP4-713A8.1	493	493
RP4-740C4.5	2407	2407
RP4-740C4.7	568	568
RER1	3028	13668
PEX10	2905	9834
PLCH2	6986	79553
RP3-395M20.2	455	959
RP3-395M20.3	514	1043
PANK4	2641	18061
HES5	1324	1519
RP3-395M20.12	1531	17397
TNFRSF14-AS1	3608	7112
TNFRSF14	4255	9744
RP3-395M20.7	1297	3479
RP3-395M20.9	626	2974
PRXL2B	2827	4979
MMEL1	2879	42378
MMEL1-AS1	373	4053
TTC34	8814	165742
ABC14-1188822O7.2	593	16643
ABC14-1188822O7.1	1565	2871
RP11-740P5.2	607	843
RP11-740P5.4	663	3712
RP11-740P5.3	429	567
RP5-907A6.1	1509	8050
ACTRT2	1437	1437
PRDM16-DT	4247	8823
PRDM16	8698	369454
MIR4251	61	61
RP1-163G9.2	469	783
RP11-193J6.1	2677	2677
RP11-22L13.1	3461	3461
RP4-785P20.3	728	10098
RP4-785P20.2	2784	6114
ARHGEF16	2822	26449
RP11-168F9.2	382	382
MEGF6	7443	123558
MIR551A	96	96
RP11-46F15.2	622	1554
TPRG1L	2401	5113
WRAP73	6089	21995
TP73	5192	83686
TP73-AS3	754	9835
TP73-AS2	351	2099
TP73-AS1	6358	11863
ENSG10010138423.1	161	161
CCDC27	2685	25186
SMIM1	547	3234
LRRC47	4303	17940
RN7SL574P	297	297
RP1-286D6.5	531	531
CEP104	7766	45311
DFFB	3152	28163
C1orf174	3499	11169
LINC01134	3059	16874
LINC01346	3242	14777
LINC01345	1646	4478
LINC02780	1258	36572
RP11-718D19.2	4817	6588
EEF1DP6	372	372
LINC01777	2077	12663
RP5-1166F10.2	3402	5245
RP1-37J18.1	356	411
LINC01646	1531	22536
AJAP1	12102	137926
RP1-77N19.1	3030	4782
RP4-603B14.2	464	9345
LINC02781	1580	8188
LINC02782	449	4441
RP4-703E10.1	1225	5467
RP1-58B11.2	2210	14322
RP1-58B11.3	609	1242
RP1-58B11.1	1697	1697
RP3-491M17.1	135	135
RP11-154H17.1	847	106587
ENSG00000264341	73	73
MIR4689	70	70
NPHP4	5548	129663
KCNAB2	5979	110267
CHD5	9850	78535
RP1-120G22.12	663	38328
RPL22	2279	24370
RNF207-AS1	378	941
RNF207	3981	15825
ICMT	4795	14780
LINC00337	2040	4753
HES3	710	1400
GPR153	4198	13746
ACOT7	1813	129499
RP1-202O8.3	837	837
HES2	4262	12253
ESPN	4731	36592
MIR4252	63	63
RP1-202O8.2	351	3973
TNFRSF25	3483	5390
PLEKHG5	4191	52953
NOL9	6627	33167
RNU6-731P	111	111
RP11-58A11.2	401	715
TAS1R1	2764	24449
ZBTB48	2484	9287
KLHL21	6445	23884
PHF13	3632	10300
THAP3	2053	10721
DNAJC11	3201	67757
LINC01672	1686	5376
RP11-242F24.2	987	2085
CAMTA1-DT	415	952
CAMTA1	8314	984253
RP11-312B8.2	286	286
RP11-334N17.1	349	5904
RNU1-8P	165	165
CAMTA1-IT1	365	1329
CAMTA1-AS2	433	7268
CAMTA1-AS1	361	459
RP11-338N10.1	1721	1721
RP11-338N10.2	570	570
RP11-338N10.3	267	267
VAMP3	2178	10137
RP3-467L1.6	393	393
PER3	6365	60887
RP3-467L1.4	830	17101
UTS2	1601	10430
TNFRSF9	5970	27295
RP5-892F13.2	355	355
PARK7	1127	31215
Y_RNA	149	112
CTA-215D11.6	2236	14179
CTA-215D11.5	1043	1748
ERRFI1	3097	21906
RP11-431K24.1	2044	95965
CTA-215D11.4	800	1219
RP11-431K24.2	1075	2947
LINC01714	896	13693
RNU1-7P	164	164
RP11-431K24.4	477	2340
RNU6-991P	107	107
SLC45A1	2496	26054
RERE	8026	496525
RERE-AS1	1052	10369
ENSG10010135148.1	125	125
RP5-1115A15.2	369	369
RPL7P11	658	658
RPL7P7	703	703
RP4-633I8.3	415	1032
RP4-633I8.4	353	1192
RPL23AP19	369	369
ENO1	2548	18191
MIR6728	89	89
